ac_code_icao,min_range,max_range
A140,441.9704488,847.8597502
A148,220.6344772,3161.166282
A158,194.7167438,2435.051597
A20N,157.3587357,5257.921253
A21N,243.0747648,4377.13206
A306,510.8893981,7056.38946
A30B,730.5613518,2797.854431
A310,164.4015911,7085.110856
A318,178.0162941,2508.496764
A319,25.7507924,5364.592916
A320,8.888300576,5655.224302
A321,23.93703537,6262.808816
A332,86.56955782,10834.7346
A333,43.70633724,10272.04206
A339,7935.409021,7935.409021
A342,7524.683708,7524.683708
A343,114.6389947,11740.26722
A345,94.04956211,10718.09379
A346,353.2784379,12830.95733
A359,229.7326911,15335.25431
A35K,566.6908558,13102.13929
A388,348.5345221,14201.63844
AJ27,272.1498569,1661.354926
AN24,85.47269914,1611.875033
AN38,440.4416424,812.220274
AT43,1.134988541,1817.629019
AT72,17.68969456,1712.45463
ATP,118.8470128,662.7489657
B190,8.801304945,1001.848422
B38M,60.43371804,8788.011232
B39M,175.830329,5248.673264
B461,114.6389947,1007.984611
B462,114.6389947,1466.779711
B463,279.7687905,1726.819666
B712,135.3610505,2382.066861
B722,129.1834943,2355.623567
B732,72.68583405,3907.59808
B733,75.35204483,5782.578021
B734,30.53016071,3237.404974
B735,62.37145136,3225.657704
B736,130.4817385,3744.468872
B737,25.7507924,5288.212129
B738,15.5028322,5803.56123
B739,8.888300576,6577.518321
B744,103.1808456,12500.47868
B748,821.8456669,11499.80077
B752,185.674534,6815.48613
B753,18.23546804,4439.34636
B762,210.5665731,7244.935391
B763,117.2236171,10872.00879
B764,18.23546804,8548.141691
B772,114.6389947,12166.34554
B773,152.1369472,13409.74353
B77L,114.6389947,14537.70049
B77W,114.6389947,13482.70165
B788,25.7507924,12898.05944
B789,25.7507924,14507.14133
B78X,1613.14478,6836.620026
BCS1,141.1437155,2425.709872
BCS3,145.2516858,4372.490156
BE20,132.5463373,511.4509403
BE40,521.3246464,750.2926213
BE55,165.4814188,595.5842222
BN2P,2.822663733,270.9355989
C172,3.389079997,987.1705353
C208,12.31939031,417.3261656
C25A,187.862558,187.862558
C310,45.3354608,178.4302934
C680,1340.814624,1340.814624
CRJ1,41.49855503,1647.708215
CRJ2,101.0088713,3155.634673
CRJ7,108.1087898,2416.009089
CRJ9,83.30483398,2831.379692
CRJX,110.7340849,2491.444526
CVLT,212.3536348,1056.930664
D228,41.04134456,487.8086379
D328,65.11287802,782.3837934
DC94,268.3585554,1003.29055
DH8A,11.33554737,1609.681958
DH8B,24.09175874,1572.825868
DH8C,12.65743711,2029.410502
DH8D,24.33328088,2218.799852
DHC2,2.690457674,162.3519268
DHC3,12.80264089,193.7327159
DHC6,8.45172068,1127.460136
DHC7,153.4961022,750.1056661
DOVE,411.506246,411.506246
E110,41.49855503,573.8024024
E120,44.5565438,1003.29055
E135,110.3727953,2533.334813
E145,42.06523322,1900.059325
E170,106.4830158,2791.173621
E190,158.9450259,1461.445842
E195,100.8064174,3283.84199
E55P,296.6061935,1451.88592
E75L,88.20424975,2845.496801
E75S,109.8749412,2756.528434
F100,69.59414613,2534.912251
F27,79.86390542,805.4498018
F28,268.3585554,1003.29055
F406,13.69214001,121.9991475
F50,57.86736738,1560.91821
F70,105.6883074,2196.018496
GLF4,855.9751722,1698.978709
GLF5,71.15272702,1240.58627
IL96,258.6494681,7736.5931
J328,99.54846284,980.6678382
JS31,41.49855503,955.5724898
JS32,35.9902692,731.017647
JS41,53.08731413,627.6774144
L410,28.85804578,650
MD81,114.6480721,1368.624595
MD82,114.6480721,3017.526988
MD83,34.52815153,2470.08482
MD87,130.5916343,3588.582326
MD88,152.9008754,2677.013459
MD90,152.9008754,2552.695354
P28B,19.50368521,135.672776
PA31,26.4600869,407.1025694
PA46,8.801304945,544.7178766
PC12,6.980728798,760.8743882
RJ1H,189.3408651,1720.393543
RJ85,189.3408651,2533.334813
SB20,67.96495498,1270.361869
SF34,24.33328088,1234.213807
SU95,84.82860601,3684.767821
SW4,13.07039168,1056.930664
T134,812.220274,1967.249113
T154,1156.189028,4173.212561
T204,342.443172,3915.721952
Y12,25.0913912,514.8698306
YK40,441.3638892,885.8357302
YK42,172.2412036,2108.932755